policy,condition,n,mean,ci_low,ci_high
zero,delay_0,30,0.2492919851116064,0.21359339178040107,0.28537475907039483
random,delay_0,30,0.17838807475429688,0.1466870464523481,0.21314686178440456
teacher,delay_0,30,0.0005342551320537058,0.0004487572206422686,0.0006210442011630124
bc,delay_0,30,0.04167434625666564,0.025346272287017683,0.06069873675154663
bc,delay_2,30,0.16998090305704996,0.1415239123814968,0.20121824148653147
more_updates,delay_0,30,0.025076026926048357,0.015941605598273442,0.035217494380415
more_updates,delay_2,30,0.1586915050438714,0.1267330834006804,0.189350924097567
more_expert,delay_0,30,0.033940140035561894,0.015678748058619088,0.05505549192481219
more_expert,delay_2,30,0.15491392741587245,0.12423984590097416,0.18675158338620723
dagger,delay_0,30,0.013678700169768972,0.010258149023088923,0.017822568912685435
dagger,delay_2,30,0.12607441367060432,0.0994563159253332,0.15345468205236346
